epoch,train_loss,roc_auc,auc,f1,acc
001,1.11125,0.578,0.624,0.736,0.597
002,1.02926,0.534,0.601,0.723,0.576
003,1.01397,0.538,0.575,0.734,0.592
004,1.00636,0.559,0.598,0.736,0.597
005,1.00249,0.582,0.611,0.731,0.590
006,1.00016,0.584,0.617,0.739,0.608
007,0.99774,0.594,0.631,0.736,0.592
008,0.99621,0.597,0.641,0.737,0.590
009,0.99435,0.604,0.644,0.737,0.590
010,0.99279,0.601,0.652,0.745,0.608
011,0.99129,0.629,0.675,0.739,0.599
012,0.98943,0.626,0.681,0.737,0.597
013,0.98797,0.631,0.683,0.741,0.604
014,0.98608,0.621,0.675,0.743,0.618
015,0.98437,0.652,0.695,0.735,0.599
016,0.98234,0.661,0.712,0.746,0.618
017,0.98005,0.655,0.701,0.732,0.599
018,0.97771,0.668,0.713,0.743,0.613
019,0.97507,0.657,0.705,0.740,0.618
020,0.97220,0.662,0.710,0.736,0.606
021,0.96835,0.675,0.718,0.741,0.604
022,0.96452,0.696,0.740,0.737,0.594
023,0.95961,0.722,0.753,0.748,0.632
024,0.95363,0.703,0.729,0.747,0.618
025,0.94637,0.729,0.749,0.753,0.625
026,0.93714,0.748,0.770,0.756,0.629
027,0.92423,0.729,0.758,0.745,0.615
028,0.90281,0.758,0.786,0.746,0.613
029,0.87216,0.686,0.717,0.728,0.594
030,0.84670,0.778,0.798,0.751,0.620
031,0.81138,0.731,0.774,0.744,0.606
032,0.77577,0.758,0.783,0.745,0.615
033,0.73148,0.728,0.759,0.757,0.641
034,0.70139,0.746,0.783,0.738,0.594
035,0.64471,0.750,0.786,0.757,0.639
036,0.58265,0.731,0.790,0.740,0.599
037,0.53864,0.715,0.770,0.735,0.597
038,0.47301,0.757,0.803,0.755,0.636
039,0.41481,0.670,0.716,0.733,0.597
040,0.36873,0.716,0.768,0.739,0.597
041,0.33661,0.719,0.764,0.748,0.618
042,0.31584,0.726,0.778,0.738,0.594
043,0.29877,0.743,0.794,0.736,0.597
044,0.26985,0.682,0.738,0.738,0.597
045,0.24991,0.719,0.757,0.743,0.608
046,0.23848,0.678,0.732,0.732,0.583
047,0.21488,0.697,0.737,0.739,0.599
048,0.20440,0.711,0.764,0.735,0.587
049,0.18767,0.655,0.693,0.739,0.597
050,0.18747,0.771,0.800,0.744,0.606
051,0.17741,0.681,0.720,0.734,0.585
052,0.16166,0.691,0.727,0.737,0.592
053,0.14749,0.741,0.781,0.737,0.590
054,0.14354,0.745,0.783,0.748,0.613
055,0.13571,0.720,0.759,0.740,0.599
056,0.12597,0.775,0.812,0.734,0.585
057,0.12128,0.741,0.771,0.736,0.594
058,0.11234,0.754,0.796,0.742,0.604
059,0.10526,0.728,0.787,0.735,0.594
060,0.09506,0.732,0.774,0.739,0.594
061,0.08673,0.712,0.754,0.736,0.594
062,0.08565,0.672,0.707,0.738,0.592
063,0.09081,0.740,0.794,0.743,0.606
064,0.07488,0.737,0.787,0.738,0.599
065,0.07085,0.739,0.790,0.733,0.583
066,0.06577,0.692,0.754,0.732,0.580
067,0.05996,0.744,0.796,0.735,0.587
068,0.05683,0.707,0.766,0.734,0.592
069,0.05377,0.788,0.839,0.740,0.597
070,0.04903,0.772,0.817,0.751,0.620
071,0.04587,0.699,0.751,0.728,0.573
072,0.04493,0.783,0.821,0.741,0.599
073,0.04540,0.790,0.831,0.742,0.604
074,0.04684,0.732,0.799,0.733,0.590
075,0.04047,0.741,0.797,0.740,0.601
076,0.03633,0.723,0.780,0.741,0.608
077,0.03360,0.803,0.849,0.734,0.585
078,0.03256,0.762,0.819,0.735,0.587
079,0.03420,0.749,0.801,0.740,0.597
080,0.03202,0.790,0.838,0.752,0.632
081,0.03023,0.712,0.773,0.729,0.580
082,0.02838,0.757,0.814,0.734,0.594
083,0.02717,0.739,0.805,0.739,0.601
084,0.02570,0.713,0.780,0.740,0.601
085,0.02601,0.769,0.816,0.741,0.606
086,0.02353,0.783,0.837,0.747,0.613
087,0.02300,0.746,0.787,0.731,0.580
088,0.02269,0.711,0.777,0.734,0.585
089,0.02199,0.746,0.794,0.736,0.590
090,0.02073,0.784,0.838,0.738,0.597
091,0.02028,0.749,0.814,0.742,0.608
092,0.01928,0.752,0.805,0.739,0.597
093,0.01944,0.753,0.805,0.747,0.613
094,0.01871,0.766,0.820,0.744,0.613
095,0.01801,0.764,0.819,0.734,0.585
096,0.01728,0.776,0.832,0.755,0.634
097,0.01692,0.803,0.847,0.741,0.604
098,0.01665,0.727,0.786,0.742,0.604
099,0.01627,0.771,0.824,0.743,0.606
100,0.01635,0.808,0.851,0.739,0.599
