epoch,train_loss,roc_auc,auc,f1,acc
001,1.10357,0.557,0.521,0.665,0.529
002,1.02293,0.517,0.501,0.664,0.512
003,1.00981,0.520,0.534,0.662,0.522
004,1.00386,0.518,0.529,0.653,0.491
005,1.00033,0.508,0.525,0.654,0.498
006,0.99767,0.527,0.527,0.656,0.505
007,0.99544,0.516,0.522,0.656,0.502
008,0.99353,0.508,0.515,0.651,0.498
009,0.99139,0.512,0.518,0.651,0.498
010,0.98939,0.522,0.518,0.654,0.505
011,0.98715,0.532,0.525,0.648,0.495
012,0.98497,0.530,0.521,0.656,0.509
013,0.98232,0.534,0.518,0.667,0.512
014,0.98010,0.572,0.547,0.667,0.509
015,0.97716,0.575,0.546,0.671,0.515
016,0.97355,0.561,0.540,0.664,0.502
017,0.97050,0.574,0.554,0.657,0.509
018,0.96604,0.551,0.531,0.665,0.512
019,0.96060,0.578,0.548,0.673,0.522
020,0.95455,0.584,0.552,0.662,0.515
021,0.94632,0.588,0.550,0.676,0.532
022,0.93917,0.554,0.539,0.662,0.498
023,0.92471,0.597,0.574,0.675,0.536
024,0.90699,0.567,0.538,0.668,0.509
025,0.86923,0.575,0.544,0.667,0.512
026,0.81990,0.584,0.547,0.665,0.509
027,0.76753,0.567,0.532,0.668,0.519
028,0.70372,0.581,0.534,0.670,0.512
029,0.65221,0.578,0.531,0.670,0.519
030,0.60940,0.579,0.543,0.659,0.515
031,0.58185,0.585,0.549,0.652,0.519
032,0.53213,0.588,0.551,0.660,0.502
033,0.51242,0.608,0.556,0.673,0.526
034,0.47712,0.577,0.549,0.654,0.502
035,0.43943,0.606,0.570,0.662,0.505
036,0.41637,0.588,0.554,0.662,0.502
037,0.38543,0.582,0.556,0.664,0.498
038,0.36160,0.581,0.559,0.659,0.498
039,0.32849,0.598,0.564,0.664,0.509
040,0.30074,0.606,0.578,0.670,0.509
041,0.27476,0.587,0.560,0.657,0.491
042,0.25851,0.575,0.545,0.660,0.502
043,0.23765,0.600,0.566,0.662,0.519
044,0.23835,0.615,0.572,0.660,0.522
045,0.21393,0.578,0.544,0.659,0.505
046,0.19319,0.569,0.537,0.661,0.495
047,0.18062,0.583,0.557,0.653,0.488
048,0.16287,0.602,0.561,0.657,0.502
049,0.14861,0.598,0.554,0.662,0.512
050,0.14771,0.594,0.569,0.671,0.529
051,0.13800,0.582,0.552,0.645,0.481
052,0.11749,0.577,0.545,0.653,0.491
053,0.10706,0.549,0.537,0.650,0.488
054,0.09960,0.564,0.533,0.657,0.495
055,0.08762,0.560,0.541,0.654,0.491
056,0.08106,0.569,0.551,0.662,0.502
057,0.07361,0.563,0.556,0.659,0.495
058,0.06663,0.562,0.544,0.662,0.505
059,0.06879,0.561,0.556,0.641,0.488
060,0.06053,0.583,0.566,0.659,0.502
061,0.05292,0.592,0.568,0.657,0.491
062,0.04923,0.579,0.550,0.664,0.498
063,0.05138,0.586,0.579,0.646,0.498
064,0.05354,0.570,0.541,0.664,0.505
065,0.04653,0.573,0.559,0.659,0.502
066,0.03949,0.591,0.584,0.665,0.502
067,0.03597,0.580,0.561,0.660,0.512
068,0.03276,0.577,0.561,0.660,0.502
069,0.03122,0.582,0.548,0.657,0.498
070,0.02957,0.559,0.555,0.648,0.495
071,0.02819,0.567,0.563,0.654,0.505
072,0.02709,0.576,0.558,0.662,0.498
073,0.02643,0.570,0.541,0.657,0.502
074,0.03071,0.590,0.570,0.662,0.502
075,0.02495,0.565,0.542,0.665,0.505
076,0.02259,0.559,0.557,0.656,0.491
077,0.02124,0.594,0.569,0.654,0.498
078,0.02042,0.570,0.548,0.654,0.491
079,0.02059,0.590,0.562,0.664,0.505
080,0.01860,0.575,0.561,0.657,0.509
081,0.01842,0.577,0.550,0.662,0.519
082,0.01769,0.569,0.546,0.661,0.495
083,0.01728,0.576,0.540,0.660,0.512
084,0.01625,0.613,0.581,0.665,0.505
085,0.01543,0.594,0.569,0.660,0.502
086,0.01550,0.579,0.565,0.665,0.509
087,0.01601,0.608,0.577,0.662,0.515
088,0.01463,0.600,0.572,0.661,0.495
089,0.01499,0.609,0.587,0.665,0.505
090,0.01320,0.600,0.578,0.657,0.505
091,0.01288,0.576,0.552,0.654,0.491
092,0.01246,0.581,0.552,0.662,0.509
093,0.01379,0.604,0.570,0.649,0.515
094,0.01480,0.603,0.571,0.665,0.509
095,0.01210,0.599,0.570,0.660,0.509
096,0.01109,0.588,0.560,0.660,0.502
097,0.01049,0.601,0.566,0.659,0.502
098,0.01057,0.614,0.572,0.670,0.522
099,0.01041,0.639,0.603,0.659,0.502
100,0.01039,0.604,0.569,0.660,0.505
