epoch,train_loss,roc_auc,auc,f1,acc
001,1.03155,0.566,0.641,0.746,0.598
002,0.99506,0.578,0.663,0.729,0.591
003,0.98520,0.592,0.671,0.737,0.594
004,0.97222,0.569,0.652,0.748,0.599
005,0.94719,0.590,0.691,0.743,0.596
006,0.85605,0.597,0.675,0.743,0.593
007,0.63439,0.604,0.665,0.742,0.594
008,0.44635,0.579,0.649,0.746,0.596
009,0.27422,0.588,0.651,0.742,0.604
010,0.18106,0.589,0.676,0.749,0.616
011,0.12082,0.597,0.671,0.754,0.614
012,0.08724,0.612,0.689,0.748,0.604
013,0.06795,0.601,0.675,0.748,0.614
014,0.05226,0.607,0.687,0.736,0.611
015,0.04127,0.611,0.697,0.731,0.614
016,0.03417,0.613,0.707,0.699,0.598
017,0.02744,0.611,0.693,0.738,0.604
018,0.02257,0.601,0.704,0.741,0.601
019,0.01824,0.602,0.702,0.745,0.599
020,0.01523,0.590,0.700,0.741,0.599
021,0.01454,0.600,0.706,0.734,0.591
022,0.01091,0.611,0.706,0.744,0.611
023,0.00930,0.579,0.699,0.726,0.591
024,0.00947,0.585,0.695,0.748,0.608
025,0.00737,0.603,0.704,0.721,0.599
026,0.00728,0.602,0.703,0.740,0.611
027,0.00641,0.609,0.718,0.721,0.594
028,0.00541,0.612,0.718,0.724,0.596
029,0.00496,0.599,0.707,0.714,0.589
030,0.00447,0.589,0.702,0.726,0.589
031,0.00459,0.586,0.686,0.741,0.618
032,0.02745,0.473,0.564,0.741,0.591
033,0.02958,0.618,0.695,0.747,0.618
034,0.00343,0.594,0.705,0.734,0.601
035,0.00279,0.608,0.712,0.735,0.613
036,0.00252,0.626,0.729,0.735,0.618
037,0.00238,0.605,0.714,0.722,0.588
038,0.00229,0.613,0.716,0.723,0.601
039,0.00216,0.612,0.714,0.741,0.618
040,0.00201,0.627,0.722,0.739,0.604
041,0.00189,0.601,0.705,0.707,0.583
042,0.00186,0.616,0.711,0.705,0.598
043,0.00181,0.598,0.702,0.742,0.616
044,0.00172,0.606,0.698,0.719,0.613
045,0.00158,0.623,0.721,0.735,0.614
046,0.00155,0.615,0.716,0.743,0.608
047,0.00150,0.578,0.695,0.717,0.581
048,0.00148,0.608,0.712,0.737,0.611
049,0.00134,0.625,0.725,0.745,0.613
050,0.04529,0.576,0.648,0.743,0.591
