epoch,train_loss,roc_auc,auc,f1,acc
001,1.06729,0.526,0.654,0.756,0.620
002,1.00825,0.535,0.677,0.770,0.632
003,1.00053,0.559,0.697,0.770,0.630
004,0.99608,0.558,0.704,0.758,0.620
005,0.99258,0.568,0.708,0.756,0.617
006,0.98916,0.567,0.701,0.769,0.635
007,0.98541,0.570,0.703,0.766,0.627
008,0.98119,0.561,0.702,0.766,0.625
009,0.97639,0.538,0.678,0.769,0.630
010,0.97027,0.550,0.684,0.759,0.617
011,0.96288,0.548,0.667,0.760,0.620
012,0.95168,0.539,0.652,0.751,0.612
013,0.93448,0.556,0.655,0.773,0.640
014,0.90573,0.582,0.686,0.755,0.635
015,0.84534,0.561,0.701,0.765,0.627
016,0.73531,0.580,0.691,0.772,0.642
017,0.62531,0.563,0.681,0.769,0.625
018,0.57551,0.537,0.668,0.754,0.615
019,0.47959,0.581,0.703,0.758,0.620
020,0.42293,0.573,0.707,0.770,0.632
021,0.36163,0.557,0.687,0.744,0.599
022,0.33666,0.563,0.703,0.733,0.597
023,0.27601,0.556,0.686,0.766,0.627
024,0.23866,0.534,0.684,0.737,0.597
025,0.20331,0.544,0.682,0.745,0.605
026,0.17637,0.536,0.689,0.731,0.589
027,0.15531,0.587,0.725,0.733,0.605
028,0.13097,0.550,0.698,0.756,0.617
029,0.11519,0.544,0.703,0.754,0.607
030,0.10043,0.591,0.719,0.753,0.632
031,0.09788,0.564,0.709,0.738,0.594
032,0.07768,0.556,0.696,0.744,0.605
033,0.06750,0.565,0.708,0.748,0.602
034,0.06374,0.575,0.711,0.763,0.622
035,0.05984,0.591,0.712,0.761,0.622
036,0.05125,0.571,0.703,0.755,0.610
037,0.04867,0.569,0.709,0.764,0.620
038,0.04400,0.591,0.710,0.755,0.615
039,0.03779,0.580,0.705,0.752,0.610
040,0.03460,0.598,0.730,0.761,0.615
041,0.03196,0.584,0.714,0.746,0.599
042,0.02989,0.590,0.718,0.740,0.597
043,0.02678,0.581,0.712,0.763,0.625
044,0.02524,0.584,0.711,0.754,0.620
045,0.02325,0.609,0.720,0.767,0.627
046,0.02128,0.586,0.706,0.766,0.622
047,0.01918,0.555,0.700,0.744,0.599
048,0.01858,0.586,0.717,0.765,0.625
049,0.01804,0.599,0.722,0.768,0.625
050,0.01694,0.585,0.720,0.747,0.607
051,0.01567,0.564,0.705,0.755,0.615
052,0.01496,0.572,0.705,0.750,0.610
053,0.01360,0.607,0.714,0.763,0.632
054,0.01290,0.573,0.706,0.756,0.610
055,0.01207,0.597,0.726,0.750,0.615
056,0.01318,0.530,0.661,0.763,0.622
057,0.02839,0.578,0.694,0.763,0.622
058,0.01205,0.602,0.720,0.750,0.620
059,0.00967,0.582,0.710,0.762,0.625
060,0.00898,0.564,0.703,0.774,0.635
061,0.00858,0.588,0.712,0.750,0.627
062,0.00786,0.585,0.703,0.770,0.632
063,0.00795,0.609,0.726,0.776,0.640
064,0.00746,0.611,0.731,0.771,0.660
065,0.00693,0.594,0.703,0.755,0.630
066,0.00667,0.590,0.698,0.758,0.627
067,0.00618,0.604,0.729,0.769,0.637
068,0.00635,0.579,0.704,0.764,0.625
069,0.00607,0.608,0.717,0.755,0.620
070,0.00601,0.602,0.725,0.765,0.632
071,0.00584,0.615,0.718,0.766,0.625
072,0.00591,0.594,0.709,0.753,0.627
073,0.00521,0.597,0.712,0.756,0.632
074,0.00511,0.599,0.724,0.764,0.630
075,0.00536,0.570,0.688,0.770,0.630
076,0.00465,0.560,0.688,0.757,0.622
077,0.00504,0.609,0.710,0.763,0.622
078,0.00452,0.614,0.725,0.769,0.640
079,0.00447,0.548,0.672,0.768,0.630
080,0.00416,0.587,0.689,0.769,0.630
081,0.02433,0.545,0.657,0.774,0.635
082,0.04840,0.575,0.695,0.760,0.625
083,0.01094,0.565,0.696,0.764,0.627
084,0.00436,0.575,0.704,0.766,0.630
085,0.00347,0.579,0.699,0.757,0.622
086,0.00320,0.553,0.705,0.774,0.635
087,0.00325,0.568,0.698,0.752,0.617
088,0.00286,0.598,0.714,0.772,0.637
089,0.00326,0.591,0.706,0.773,0.637
090,0.00285,0.601,0.714,0.772,0.642
091,0.00262,0.613,0.723,0.752,0.632
092,0.00260,0.600,0.722,0.770,0.640
093,0.00250,0.609,0.714,0.753,0.627
094,0.00241,0.577,0.707,0.767,0.627
095,0.00237,0.590,0.706,0.770,0.645
096,0.00244,0.563,0.696,0.764,0.640
097,0.00256,0.583,0.693,0.759,0.630
098,0.00227,0.593,0.713,0.739,0.610
099,0.00211,0.612,0.724,0.761,0.625
100,0.00209,0.598,0.713,0.773,0.640
