epoch,train_loss,roc_auc,auc,f1,acc
001,1.08235,0.664,0.859,0.861,0.762
002,1.00527,0.882,0.955,0.869,0.800
003,0.97420,0.917,0.973,0.900,0.850
004,0.94616,0.964,0.988,0.924,0.887
005,0.91580,0.965,0.988,0.934,0.900
006,0.88115,0.979,0.993,0.957,0.938
007,0.83522,0.977,0.993,0.957,0.938
008,0.78119,0.983,0.994,0.947,0.925
009,0.71509,0.990,0.996,0.965,0.950
010,0.62892,0.994,0.998,0.965,0.950
011,0.53086,0.986,0.996,0.946,0.925
012,0.42642,0.983,0.995,0.946,0.925
013,0.33424,0.989,0.996,0.946,0.925
014,0.25580,0.990,0.997,0.946,0.925
015,0.20174,0.990,0.997,0.946,0.925
016,0.14778,0.993,0.998,0.937,0.912
017,0.12591,0.982,0.995,0.946,0.925
018,0.10103,0.998,0.999,0.937,0.912
019,0.09227,0.995,0.998,0.946,0.925
020,0.06839,0.991,0.997,0.937,0.912
021,0.05345,0.995,0.998,0.937,0.912
022,0.04615,0.997,0.999,0.946,0.925
023,0.03990,0.996,0.999,0.946,0.925
024,0.03170,0.997,0.999,0.937,0.912
025,0.02488,0.996,0.999,0.937,0.912
026,0.02150,0.999,1.000,0.927,0.900
027,0.02027,0.998,0.999,0.937,0.912
028,0.02556,0.988,0.996,0.927,0.900
029,0.04050,0.990,0.997,0.917,0.887
030,0.02977,0.995,0.998,0.927,0.900
031,0.02819,0.994,0.998,0.937,0.912
032,0.02464,0.999,1.000,0.956,0.938
033,0.02599,0.989,0.996,0.907,0.875
034,0.02220,0.997,0.999,0.927,0.900
035,0.01675,0.997,0.999,0.907,0.875
036,0.01439,0.998,0.999,0.927,0.900
037,0.02468,0.997,0.999,0.927,0.900
038,0.01252,1.000,1.000,0.927,0.900
039,0.00990,0.998,0.999,0.927,0.900
040,0.00724,0.997,0.999,0.927,0.900
041,0.00540,0.998,0.999,0.927,0.900
042,0.00474,1.000,1.000,0.927,0.900
043,0.00432,0.998,0.999,0.927,0.900
044,0.00540,0.998,0.999,0.927,0.900
045,0.00635,0.995,0.998,0.927,0.900
046,0.03425,0.994,0.998,0.927,0.900
047,0.03859,0.985,0.995,0.929,0.900
048,0.04415,0.952,0.985,0.876,0.838
049,0.03006,0.998,0.999,0.927,0.900
050,0.01550,0.978,0.993,0.897,0.863
