epoch,train_loss,roc_auc,auc,f1,acc
001,0.99873,0.850,0.878,0.697,0.582
002,0.93389,0.898,0.925,0.765,0.709
003,0.70538,0.901,0.921,0.815,0.818
004,0.38760,0.873,0.911,0.774,0.745
005,0.17381,0.900,0.919,0.820,0.800
006,0.08619,0.907,0.920,0.839,0.836
007,0.04790,0.886,0.906,0.811,0.809
008,0.02996,0.881,0.903,0.742,0.709
009,0.02072,0.869,0.892,0.786,0.773
010,0.01536,0.905,0.921,0.812,0.827
011,0.01249,0.893,0.913,0.800,0.791
012,0.00932,0.865,0.893,0.796,0.800
013,0.00783,0.891,0.918,0.821,0.809
014,0.00643,0.900,0.919,0.768,0.736
015,0.00527,0.897,0.913,0.804,0.800
016,0.00437,0.898,0.914,0.792,0.800
017,0.00373,0.910,0.924,0.849,0.855
018,0.00320,0.892,0.903,0.811,0.809
019,0.00281,0.871,0.904,0.800,0.791
020,0.02513,0.909,0.927,0.818,0.818
021,0.00179,0.921,0.933,0.832,0.827
022,0.00152,0.932,0.941,0.796,0.818
023,0.00136,0.912,0.926,0.816,0.827
024,0.00127,0.939,0.945,0.835,0.845
025,0.00112,0.895,0.913,0.792,0.809
026,0.00111,0.895,0.911,0.752,0.773
027,0.00101,0.888,0.909,0.819,0.827
028,0.00088,0.900,0.912,0.814,0.809
029,0.00087,0.864,0.876,0.766,0.773
030,0.00079,0.918,0.932,0.846,0.855
031,0.00072,0.866,0.893,0.755,0.764
032,0.00065,0.806,0.833,0.692,0.700
033,0.06390,0.756,0.780,0.682,0.618
034,0.00181,0.878,0.913,0.838,0.845
035,0.00064,0.929,0.942,0.832,0.845
036,0.00048,0.887,0.915,0.783,0.773
037,0.00041,0.907,0.925,0.777,0.791
038,0.00035,0.918,0.936,0.840,0.855
039,0.00032,0.911,0.928,0.792,0.818
040,0.00031,0.893,0.917,0.811,0.818
041,0.00029,0.875,0.908,0.812,0.827
042,0.00028,0.886,0.913,0.792,0.800
043,0.00026,0.892,0.916,0.804,0.827
044,0.00026,0.884,0.904,0.815,0.818
045,0.00026,0.889,0.912,0.792,0.818
046,0.00025,0.869,0.896,0.796,0.809
047,0.00024,0.889,0.909,0.793,0.791
048,0.00025,0.873,0.893,0.771,0.773
049,0.00024,0.875,0.902,0.779,0.773
050,0.00023,0.833,0.876,0.745,0.764
