epoch,train_loss,roc_auc,auc,f1,acc
001,1.10238,0.582,0.557,0.674,0.516
002,1.02172,0.730,0.733,0.674,0.531
003,1.00683,0.729,0.762,0.709,0.641
004,0.99943,0.738,0.763,0.674,0.531
005,0.99455,0.770,0.785,0.681,0.547
006,0.99002,0.766,0.782,0.703,0.578
007,0.98553,0.773,0.790,0.681,0.531
008,0.98151,0.777,0.788,0.703,0.578
009,0.97655,0.768,0.791,0.744,0.656
010,0.97159,0.748,0.771,0.711,0.594
011,0.96546,0.733,0.783,0.697,0.578
012,0.95835,0.760,0.792,0.732,0.656
013,0.94959,0.815,0.841,0.738,0.656
014,0.93904,0.852,0.888,0.783,0.766
015,0.92628,0.896,0.914,0.747,0.672
016,0.90950,0.889,0.913,0.818,0.812
017,0.88379,0.946,0.951,0.805,0.766
018,0.85219,0.946,0.956,0.857,0.844
019,0.80732,0.918,0.933,0.845,0.828
020,0.73582,0.930,0.932,0.833,0.812
021,0.66723,0.823,0.849,0.723,0.641
022,0.61384,0.898,0.918,0.795,0.766
023,0.53876,0.902,0.924,0.769,0.719
024,0.48314,0.841,0.880,0.725,0.656
025,0.41747,0.879,0.901,0.725,0.656
026,0.35812,0.872,0.896,0.765,0.703
027,0.31186,0.924,0.938,0.765,0.703
028,0.27879,0.968,0.974,0.873,0.859
029,0.24739,0.938,0.947,0.800,0.766
030,0.20303,0.921,0.939,0.759,0.703
031,0.17001,0.941,0.953,0.822,0.797
032,0.15054,0.931,0.944,0.811,0.781
033,0.12638,0.928,0.946,0.817,0.797
034,0.11159,0.944,0.955,0.829,0.812
035,0.10116,0.934,0.949,0.806,0.781
036,0.09039,0.850,0.883,0.784,0.750
037,0.07554,0.908,0.933,0.800,0.781
038,0.07035,0.904,0.928,0.784,0.750
039,0.05954,0.790,0.835,0.743,0.719
040,0.05198,0.845,0.867,0.744,0.688
041,0.04681,0.914,0.927,0.812,0.797
042,0.04179,0.936,0.942,0.906,0.906
043,0.03791,0.889,0.904,0.789,0.766
044,0.03313,0.890,0.909,0.844,0.844
045,0.03049,0.896,0.916,0.853,0.844
046,0.02807,0.782,0.824,0.714,0.688
047,0.02498,0.874,0.901,0.806,0.797
048,0.02560,0.941,0.948,0.900,0.906
049,0.02384,0.910,0.923,0.767,0.734
050,0.01971,0.855,0.879,0.788,0.781
