epoch,train_loss,roc_auc,auc,f1,acc
001,1.01584,0.789,0.808,0.672,0.526
002,0.95341,0.914,0.927,0.746,0.663
003,0.84344,0.968,0.975,0.942,0.942
004,0.57122,0.947,0.954,0.851,0.858
005,0.28291,0.963,0.971,0.836,0.858
006,0.12180,0.966,0.974,0.797,0.832
007,0.05788,0.972,0.977,0.782,0.821
008,0.03289,0.972,0.975,0.782,0.821
009,0.02076,0.975,0.980,0.766,0.811
010,0.01429,0.969,0.975,0.742,0.795
011,0.01014,0.973,0.977,0.758,0.805
012,0.00750,0.967,0.974,0.742,0.795
013,0.00583,0.977,0.982,0.733,0.789
014,0.00464,0.972,0.978,0.733,0.789
015,0.00372,0.972,0.977,0.733,0.789
016,0.00306,0.971,0.977,0.733,0.789
017,0.00263,0.968,0.976,0.725,0.784
018,0.00226,0.976,0.981,0.725,0.784
019,0.00193,0.975,0.981,0.725,0.784
020,0.00169,0.978,0.983,0.725,0.784
021,0.00150,0.980,0.984,0.725,0.784
022,0.00132,0.977,0.982,0.725,0.784
023,0.00116,0.977,0.983,0.725,0.784
024,0.00098,0.962,0.971,0.716,0.779
025,0.00094,0.982,0.984,0.707,0.774
026,0.00085,0.976,0.982,0.716,0.779
027,0.00076,0.969,0.978,0.699,0.768
028,0.00071,0.966,0.971,0.690,0.763
029,0.00062,0.977,0.982,0.716,0.779
030,0.00058,0.964,0.971,0.707,0.774
031,0.00055,0.978,0.983,0.707,0.774
032,0.00050,0.976,0.981,0.707,0.774
033,0.00046,0.973,0.978,0.681,0.758
034,0.00045,0.978,0.983,0.707,0.774
035,0.00043,0.973,0.979,0.681,0.758
036,0.00038,0.970,0.976,0.690,0.763
037,0.00035,0.986,0.987,0.690,0.763
038,0.00034,0.968,0.975,0.671,0.753
039,0.00032,0.978,0.981,0.699,0.768
040,0.00028,0.985,0.985,0.671,0.753
041,0.00028,0.978,0.981,0.643,0.737
042,0.00027,0.966,0.975,0.671,0.753
043,0.00025,0.964,0.970,0.613,0.721
044,0.00023,0.983,0.986,0.681,0.758
045,0.00021,0.962,0.970,0.690,0.763
046,0.00023,0.957,0.971,0.652,0.742
047,0.00020,0.969,0.977,0.643,0.737
048,0.00018,0.971,0.976,0.652,0.742
049,0.00019,0.974,0.977,0.662,0.747
050,0.00018,0.954,0.961,0.603,0.716
